Shipment_ID,Arrival_Date,Departure_Date,Cargo_Type,Shipping_Company,Port_of_Origin,Port_of_Destination,Tonnage,Delay_Days
SHIP_0001,2024-10-27,2024-10-30,Vehicles,Maersk,Antwerp,Rotterdam,270.05,6
SHIP_0002,2024-10-27,2024-10-31,General Cargo,Hapag-Lloyd,Shanghai,Shanghai,4695.72,2
SHIP_0003,2024-08-21,2024-09-04,Liquid Bulk,Evergreen,Singapore,Los Angeles,3998.23,10
SHIP_0004,2024-04-05,2024-04-07,Vehicles,MSC,Shanghai,Rotterdam,4418.8,6
SHIP_0005,2024-05-16,2024-05-17,Containers,Evergreen,Tokyo,Dubai,1683.46,1
SHIP_0006,2024-05-09,2024-05-23,Vehicles,ONE,Singapore,Los Angeles,1990.55,6
SHIP_0007,2024-01-13,2024-01-27,Containers,ONE,Tokyo,Tokyo,2024.66,8
SHIP_0008,2024-02-02,2024-02-06,Solid Bulk,CMA CGM,Singapore,Tokyo,1093.0,10
SHIP_0009,2024-07-01,2024-07-13,Solid Bulk,Evergreen,New York,Los Angeles,1863.56,5
SHIP_0010,2024-12-27,2025-01-03,Liquid Bulk,COSCO,Singapore,Singapore,2004.62,6
SHIP_0011,2024-10-16,2024-10-19,Liquid Bulk,COSCO,Tokyo,Antwerp,3771.49,-1
SHIP_0012,2024-11-01,2024-11-11,Solid Bulk,Maersk,Singapore,Tokyo,1489.77,0
SHIP_0013,2024-11-05,2024-11-09,General Cargo,ONE,Singapore,Shanghai,4938.7,6
SHIP_0014,2024-06-22,2024-07-03,Containers,Evergreen,Antwerp,Dubai,3288.05,6
SHIP_0015,2024-11-11,2024-11-18,Vehicles,Maersk,New York,Dubai,2378.27,9
SHIP_0016,2024-03-11,2024-03-21,Solid Bulk,Evergreen,Los Angeles,Shanghai,4386.38,3
SHIP_0017,2024-04-01,2024-04-10,Liquid Bulk,Hapag-Lloyd,Antwerp,Antwerp,1331.34,3
SHIP_0018,2024-03-19,2024-03-31,Containers,COSCO,Antwerp,Los Angeles,130.06,9
SHIP_0019,2024-05-23,2024-06-03,General Cargo,ONE,Tokyo,Dubai,3464.22,7
SHIP_0020,2024-11-12,2024-11-19,Containers,MSC,Antwerp,Tokyo,3733.16,6
SHIP_0021,2024-09-27,2024-10-10,Vehicles,ONE,Singapore,Antwerp,4622.66,2
SHIP_0022,2024-05-05,2024-05-16,Solid Bulk,Evergreen,Shanghai,Rotterdam,286.43,2
SHIP_0023,2024-06-04,2024-06-17,Containers,ONE,Antwerp,Antwerp,4891.76,-1
SHIP_0024,2024-11-06,2024-11-18,Containers,Hapag-Lloyd,Dubai,New York,3752.04,10
SHIP_0025,2024-06-09,2024-06-24,Solid Bulk,MSC,Shanghai,Los Angeles,2351.63,5
SHIP_0026,2024-02-24,2024-02-28,Containers,Hapag-Lloyd,Dubai,Antwerp,1941.06,9
SHIP_0027,2024-11-16,2024-11-18,Solid Bulk,COSCO,Rotterdam,Rotterdam,2503.65,-2
SHIP_0028,2024-11-04,2024-11-14,Solid Bulk,CMA CGM,Los Angeles,New York,3450.59,2
SHIP_0029,2024-05-22,2024-05-23,Vehicles,Hapag-Lloyd,Shanghai,Rotterdam,1611.38,9
SHIP_0030,2024-08-06,2024-08-09,Solid Bulk,Maersk,Shanghai,Rotterdam,2831.97,2
SHIP_0031,2024-04-23,2024-05-06,Liquid Bulk,MSC,Los Angeles,Shanghai,956.96,7
SHIP_0032,2024-06-26,2024-07-01,Liquid Bulk,Maersk,Los Angeles,Antwerp,2500.78,-2
